track_popularity,mode,speechiness,instrumentalness,energy,danceability,liveness,acousticness,valence,duration_ms,type,key,tempo,loudness
90,0.0,0.244,1.86e-06,0.52,0.561,0.355,0.0503,0.424,239360.0,audio_features,11.0,153.15,-9.342
78,0.0,0.323,0.0,0.546,0.908,0.0707,0.0127,0.225,170502.0,audio_features,8.0,131.016,-10.491
81,1.0,0.591,0.0,0.358,0.841,0.39,0.0201,0.329,261544.0,audio_features,9.0,158.014,-8.368
75,0.0,0.316,0.0,0.433,0.849,0.388,0.0407,0.395,152962.0,audio_features,5.0,142.11,-8.434
77,1.0,0.198,0.0,0.614,0.934,0.123,0.00274,0.616,160821.0,audio_features,5.0,144.045,-7.384
85,1.0,0.0512,0.0,0.701,0.773,0.163,0.01,0.203,214589.0,audio_features,7.0,129.963,-6.386
75,0.0,0.119,0.0,0.403,0.501,0.267,0.234,0.111,399154.0,audio_features,6.0,118.352,-11.106
71,0.0,0.327,0.0,0.517,0.746,0.137,0.0782,0.609,180098.0,audio_features,10.0,88.987,-7.582
79,1.0,0.0699,0.0,0.605,0.734,0.317,0.0102,0.252,236795.0,audio_features,1.0,103.976,-8.476
81,0.0,0.116,0.0,0.63,0.749,0.353,0.0623,0.445,242027.0,audio_features,4.0,122.03,-6.652
77,1.0,0.266,0.000108,0.533,0.642,0.251,0.0104,0.112,225439.0,audio_features,2.0,120.041,-7.45
71,0.0,0.393,0.0,0.703,0.466,0.422,0.18,0.25,356389.0,audio_features,4.0,76.815,-5.774
76,0.0,0.282,0.0,0.575,0.799,0.196,0.221,0.319,137151.0,audio_features,6.0,99.026,-6.257
74,1.0,0.223,0.000422,0.504,0.704,0.139,0.0405,0.0713,221406.0,audio_features,1.0,82.537,-6.749
66,1.0,0.398,6.49e-06,0.692,0.475,0.18,0.0533,0.241,178329.0,audio_features,1.0,181.167,-8.327
68,1.0,0.051,1.2e-05,0.34,0.385,0.196,0.499,0.0398,263988.0,audio_features,7.0,83.947,-11.754
